id,cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys
"all;g4run;libstdc++;std::ostream::operator<<",0,0,0,28638,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace",698468,0,375607,0,639770,12406
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create",2793557,4300080,1813653,50825,423385,120824
"all;g4run;libstdc++;operator new",30702314,28792631,21585732,2404694,5594542,1836842
"all;g4run;libstdc++;__dynamic_cast",1407156488,1943820768,720800825,125658919,112578034,14053037
"all;g4run;libstdc++;std::__ostream_insert<char, std::char_traits<char> >",697736,0,0,0,0,0
"all;g4run;libstdc++;std::_Rb_tree_increment",189833559,33228957,162613925,54286563,71889254,401290
"all;g4run;libstdc++;std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put",0,0,0,13764,0,3502
"all;g4run;libstdc++;std::_Rb_tree_insert_and_rebalance",0,1026841,0,253201,557674,10157
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt",0,0,0,0,0,10768
"all;g4run;libstdc++;std::ostream::_M_insert<double>",698471,0,0,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve",1396785,0,1118978,127276,667280,77545
"all;g4run;libstdc++;__cxxabiv1::__class_type_info::__do_dyncast",99796961,126800280,57312220,10145578,7765379,2699301
"all;g4run;libstdc++;std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_pbump",0,0,0,12442,525592,0
"all;g4run;libstdc++;operator delete[]",0,1043255,432380,0,0,0
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append",698432,1080065,0,57788,0,76508
"all;g4run;libstdc++;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::compare",2095101,0,1481483,112089,643167,74690
